               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.058774,            0.051182,            0.037318,             0.08378,            0.075796,            0.053966,            0.020029,            0.058807,            0.018155,            0.037113,           0.0086536,           0.0086536,           0.0086536
                  36,            0.058781,            0.050378,            0.037594,             0.48314,             0.12555,              0.1239,            0.044062,            0.059593,            0.018607,            0.035698,            0.008614,            0.008614,            0.008614
                  37,            0.059713,             0.05004,            0.036688,             0.19925,            0.065117,            0.072472,            0.034535,            0.057551,            0.018836,            0.037155,           0.0085744,           0.0085744,           0.0085744
                  38,            0.058705,            0.048317,            0.036735,             0.18959,             0.15009,             0.11713,            0.047441,             0.06032,            0.017334,            0.037903,           0.0085348,           0.0085348,           0.0085348
                  39,            0.059307,            0.048365,            0.037307,             0.21413,             0.15001,            0.098936,             0.02974,            0.058463,            0.017562,            0.035122,           0.0084952,           0.0084952,           0.0084952
                  40,            0.058714,            0.050758,            0.036015,             0.15579,             0.10584,            0.077183,            0.036216,            0.057562,            0.017593,            0.035488,           0.0084556,           0.0084556,           0.0084556
                  41,            0.058143,            0.048291,            0.035834,             0.21242,            0.084794,             0.11053,            0.040365,             0.05963,            0.017084,            0.039146,            0.008416,            0.008416,            0.008416
                  42,            0.058534,            0.049952,            0.035603,             0.22237,             0.13669,             0.12558,            0.048233,            0.057738,            0.018567,            0.036652,           0.0083764,           0.0083764,           0.0083764
                  43,            0.057205,            0.049079,            0.035178,             0.15278,             0.12618,             0.10212,             0.04679,             0.05771,            0.017528,            0.037029,           0.0083368,           0.0083368,           0.0083368
                  44,             0.05801,             0.04929,            0.034823,             0.16526,             0.13454,             0.12304,            0.055326,            0.057527,            0.017934,            0.035725,           0.0082972,           0.0082972,           0.0082972
                  45,             0.05476,            0.046352,            0.034262,            0.085599,              0.1199,            0.072336,            0.034189,            0.056346,            0.017832,            0.040581,           0.0082576,           0.0082576,           0.0082576
                  46,            0.056201,            0.047904,            0.035284,             0.12005,               0.147,            0.066315,            0.024016,            0.060361,            0.017343,            0.035107,            0.008218,            0.008218,            0.008218
