               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.057711,            0.050025,            0.036004,             0.19191,             0.15361,             0.10869,            0.031802,            0.059019,            0.017859,            0.033112,           0.0086536,           0.0086536,           0.0086536
                  36,            0.057937,            0.049468,            0.036015,             0.28165,             0.15643,             0.12283,            0.048892,            0.058337,            0.018024,            0.034187,            0.008614,            0.008614,            0.008614
                  37,            0.058726,            0.048951,            0.034166,            0.046845,             0.20747,            0.037063,             0.01241,            0.063081,             0.01748,            0.037849,           0.0085744,           0.0085744,           0.0085744
                  38,            0.057562,            0.047436,             0.03467,            0.073334,             0.10184,            0.080868,            0.026341,            0.060524,             0.01818,            0.036438,           0.0085348,           0.0085348,           0.0085348
                  39,            0.057723,            0.047837,            0.035226,             0.14426,             0.10101,             0.06685,            0.025235,            0.061669,            0.017978,             0.03297,           0.0084952,           0.0084952,           0.0084952
                  40,             0.05712,            0.049894,             0.03419,             0.10437,             0.19131,            0.075267,            0.023518,            0.056759,            0.019351,            0.032654,           0.0084556,           0.0084556,           0.0084556
                  41,            0.057206,            0.047303,            0.033656,            0.095051,              0.1206,            0.061125,            0.022071,            0.057253,            0.017805,            0.036167,            0.008416,            0.008416,            0.008416
                  42,            0.057003,            0.049388,            0.033398,             0.12632,             0.10643,            0.079888,             0.02559,            0.060468,            0.017982,            0.038383,           0.0083764,           0.0083764,           0.0083764
                  43,            0.056016,            0.048433,            0.033678,             0.13739,             0.16446,            0.083603,            0.026802,            0.057713,            0.018191,              0.0368,           0.0083368,           0.0083368,           0.0083368
                  44,            0.056263,            0.048572,            0.032263,             0.13774,             0.15527,             0.12428,            0.049088,             0.05653,             0.01822,            0.038433,           0.0082972,           0.0082972,           0.0082972
                  45,            0.054357,            0.045413,            0.032285,             0.11715,             0.17207,            0.093972,            0.033328,             0.05671,             0.01763,            0.036045,           0.0082576,           0.0082576,           0.0082576
                  46,            0.055004,            0.047233,            0.033384,             0.21138,             0.13246,             0.10338,             0.05041,            0.056979,            0.018048,            0.038109,            0.008218,            0.008218,            0.008218
                  47,            0.054175,            0.046419,            0.031078,             0.14604,              0.1248,             0.11329,            0.042997,            0.057104,            0.019012,            0.040657,           0.0081784,           0.0081784,           0.0081784
                  48,            0.056341,            0.048877,            0.030782,            0.091624,             0.15799,            0.092045,            0.036752,            0.056691,             0.01733,            0.036572,           0.0081388,           0.0081388,           0.0081388
                  49,            0.054857,            0.049521,            0.031072,            0.087974,             0.17712,            0.047783,            0.016109,            0.057171,             0.01975,            0.041775,           0.0080992,           0.0080992,           0.0080992
                  50,            0.054915,            0.046879,            0.030123,             0.36866,             0.16446,             0.18871,            0.071381,            0.057553,            0.017729,            0.035797,           0.0080596,           0.0080596,           0.0080596
                  51,            0.054191,            0.046565,            0.031592,              0.2608,             0.16427,             0.16023,             0.06658,            0.059259,            0.017524,            0.036552,             0.00802,             0.00802,             0.00802
                  52,            0.054871,            0.048318,            0.029057,             0.16185,             0.20095,            0.091297,            0.035148,            0.056907,            0.018614,            0.038048,           0.0079804,           0.0079804,           0.0079804
                  53,            0.054854,             0.04587,            0.029393,             0.24385,             0.20385,             0.13717,            0.055519,            0.054603,            0.018105,            0.034885,           0.0079408,           0.0079408,           0.0079408
                  54,             0.05314,            0.046125,             0.02768,             0.14029,             0.20204,             0.13368,            0.054845,            0.056325,            0.018515,            0.037018,           0.0079012,           0.0079012,           0.0079012
                  55,            0.053956,            0.044814,             0.02988,             0.30601,             0.18909,             0.15737,            0.076829,            0.053706,             0.01757,            0.037037,           0.0078616,           0.0078616,           0.0078616
                  56,            0.053793,             0.04677,            0.027593,              0.2661,             0.18831,             0.14596,            0.071722,            0.052464,            0.017725,            0.036705,            0.007822,            0.007822,            0.007822
